"Squad","Player","Starts_Playing","Min_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","Cmp_Total","Att_Total","Cmp_percent_Total","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Tkl_Tackles","TklW_Tackles","Blocks_Blocks","Int","Tkl+Int","Clr","Err","Fls","Fld","Off","Crs","Won_Aerial","Lost_Aerial","Won_percent_Aerial","GA","GA90","SoTA","Saves","Save_percent","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty"
"Nott'ham Forest","Callum Hudson-Odoi",5,481,1,0,1,1,0,0,0.4,0.4,1.4,1.8,28,26,69,0.19,0,0.19,0.19,0.19,0.08,0.25,0.33,0.08,1,6,4,66.7,1.12,0.75,0.17,0.25,19.4,173,220,78.6,1.3,0.9,-1.3,12,4,13,3,26,2,1,1,2,4,1,0,4,3,1,33,1,2,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nott'ham Forest","Omari Hutchinson",0,102,0,0,0,0,0,0,0.4,0.4,0.7,1.1,6,3,22,0,0,0,0,0,0.37,0.59,0.97,0.37,0,4,2,50,3.53,1.76,0,0,13.6,44,58,75.9,0.7,0.4,-0.7,5,2,4,3,3,1,1,2,0,1,0,0,2,1,1,13,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nott'ham Forest","Igor Jesus",1,196,0,0,0,0,0,0,0.9,0.9,0.1,1,0,2,11,0,0,0,0,0,0.42,0.04,0.46,0.42,0,5,2,40,2.3,0.92,0,0,10.7,40,55,72.7,0.1,0.1,-0.1,2,1,2,0,2,4,2,0,0,4,4,0,5,2,0,1,9,6,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nott'ham Forest","Arnaud Kalimuendo",0,71,0,0,0,0,0,0,0.4,0.4,0,0.4,4,2,12,0,0,0,0,0,0.44,0.02,0.46,0.44,0,3,0,0,3.8,0,0,NA,15.5,23,29,79.3,0,0,0,1,1,1,0,2,0,0,1,0,0,1,0,1,0,0,2,3,1,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nott'ham Forest","Douglas Luiz",3,172,0,0,0,0,0,0,0,0,0.4,0.4,4,2,6,0,0,0,0,0,0.01,0.22,0.24,0.01,0,1,0,0,0.52,0,0,NA,23,94,110,85.5,0.4,0.2,-0.4,2,2,0,0,2,1,1,1,0,1,0,0,1,5,0,6,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nott'ham Forest","James Mcatee",1,129,0,0,0,0,0,0,0,0,0.4,0.4,4,9,8,0,0,0,0,0,0.01,0.25,0.26,0.01,0,1,0,0,0.7,0,0,NA,33.2,55,62,88.7,0.4,0.2,-0.4,3,5,4,0,9,2,2,5,0,2,1,0,2,3,0,4,1,2,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nott'ham Forest","Nikola Milenković",9,810,0,0,0,0,0,0,0.4,0.4,0.3,0.7,5,27,0,0,0,0,0,0,0.04,0.03,0.08,0.04,0,5,1,20,0.56,0.11,0,0,10.2,433,481,90,0.3,0.2,-0.3,1,38,4,0,27,3,2,4,8,11,37,0,3,5,0,0,19,14,57.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nott'ham Forest","Morato",5,436,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0.01,0,0.01,0.01,0,1,0,0,0.21,0,0,NA,21.5,257,290,88.6,0,0,0,0,13,1,0,15,9,5,7,3,12,25,2,8,4,0,0,5,3,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nott'ham Forest","Murillo",6,469,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,262,318,82.4,0,0.2,0,0,29,0,0,28,3,1,5,9,12,19,0,4,3,0,1,4,2,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nott'ham Forest","Dan Ndoye",8,574,1,1,2,1,0,0,0.2,0.2,0.6,0.8,29,11,60,0.16,0.16,0.31,0.16,0.31,0.03,0.09,0.13,0.03,1,3,1,33.3,0.47,0.16,0.33,1,16.4,125,178,70.2,0.6,0.7,0.4,6,6,6,3,11,6,3,5,5,11,1,0,7,7,0,22,2,5,28.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nott'ham Forest","Ibrahim Sangaré",5,442,0,0,0,0,0,0,0.2,0.2,0,0.3,5,32,2,0,0,0,0,0,0.05,0,0.05,0.05,0,4,1,25,0.81,0.2,0,0,23.2,249,279,89.2,0,0.1,0,1,32,2,0,32,11,7,6,6,17,13,2,8,2,0,3,4,7,36.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nott'ham Forest","Nicolò Savona",2,251,0,0,0,0,0,0,0,0,0,0,3,10,14,0,0,0,0,0,0,0.01,0.01,0,0,0,0,NA,0,0,NA,NA,NA,105,139,75.5,0,0,0,1,7,1,0,9,4,4,2,1,5,2,0,3,3,0,5,1,3,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nott'ham Forest","Matz Sels",9,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,168,251,66.9,0,0,0,0,9,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,1,50,17,1.89,48,31,70.8,0,0,3,3,0,0,0
"Nott'ham Forest","Jota Silva",0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,2,3,66.7,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nott'ham Forest","Neco Williams",9,810,1,0,1,1,0,0,0.7,0.7,0.5,1.2,18,43,48,0.11,0,0.11,0.11,0.11,0.08,0.06,0.14,0.08,1,10,4,40,1.11,0.44,0.1,0.25,20.4,399,503,79.3,0.5,0.4,-0.5,7,30,5,5,43,20,12,11,8,28,14,0,11,15,1,44,12,8,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nott'ham Forest","Chris Wood",7,540,2,0,2,2,0,0,2.7,2.7,0.2,2.9,0,7,16,0.33,0,0.33,0.33,0.33,0.45,0.03,0.48,0.45,2,16,6,37.5,2.67,1,0.13,0.33,9.5,54,81,66.7,0.2,0.1,-0.2,3,4,1,0,7,1,1,1,0,1,5,1,5,4,3,1,11,19,36.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nott'ham Forest","Ryan Yates",1,136,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0.02,0,0.02,0.02,0,1,1,100,0.66,0.66,0,0,17.2,64,73,87.7,0,0,0,0,5,1,0,6,0,0,1,2,2,6,0,4,2,0,0,7,1,87.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nott'ham Forest","Oleksandr Zinchenko",3,253,0,0,0,0,0,0,0,0,0.5,0.5,6,22,7,0,0,0,0,0,0.02,0.16,0.18,0.02,0,3,1,33.3,1.07,0.36,0,0,28.7,194,216,89.8,0.5,0.3,-0.5,3,22,5,1,22,10,6,5,1,11,9,0,1,2,1,9,2,5,28.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland","Simon Adingra",4,273,0,0,0,0,0,0,0.1,0.1,0.6,0.7,6,2,33,0,0,0,0,0,0.05,0.2,0.24,0.05,0,1,0,0,0.33,0,0,NA,14,48,69,69.6,0.6,0.2,-0.6,5,0,4,2,2,4,3,1,0,4,5,0,5,3,3,12,3,5,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland","Omar Alderete",7,668,1,1,2,1,0,0,0.6,0.6,0.1,0.7,10,31,2,0.13,0.13,0.27,0.13,0.27,0.08,0.01,0.09,0.08,1,6,2,33.3,0.81,0.27,0.17,0.5,12.8,311,369,84.3,0.1,0.3,0.9,2,26,3,2,31,12,4,7,10,22,44,0,6,2,0,4,17,18,48.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland","Daniel Ballard",4,402,1,0,1,1,0,0,0.6,0.6,0.6,1.2,1,7,2,0.22,0,0.22,0.22,0.22,0.13,0.14,0.27,0.13,1,9,4,44.4,2.01,0.9,0.11,0.25,8.4,115,141,81.6,0.6,0.3,-0.6,4,7,1,0,7,8,3,8,2,10,46,1,5,7,0,0,27,15,64.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland","Brian Brobbey",0,76,0,1,1,0,0,0,0,0,0.1,0.1,2,2,2,0,1.18,1.18,0,1.18,0,0.14,0.14,0,0,0,0,NA,0,0,NA,NA,NA,6,13,46.2,0.1,0,0.9,1,1,0,0,2,1,0,1,0,1,2,0,1,3,1,0,3,6,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland","Habib Diarra",4,345,0,0,0,0,0,0,0.6,0.6,0,0.6,10,13,17,0,0,0,0,0,0.15,0.01,0.16,0.15,0,6,1,16.7,1.57,0.26,0,0,19.4,93,121,76.9,0,0.1,0,1,11,2,0,13,1,0,1,1,2,7,0,4,1,0,8,3,2,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland","Lutsharel Geertruida",1,167,0,0,0,0,0,0,0.7,0.7,0,0.7,3,2,0,0,0,0,0,0,0.36,0,0.36,0.36,0,2,1,50,1.08,0.54,0,0,16.8,48,61,78.7,0,0.2,0,0,2,1,0,2,3,3,2,1,4,5,0,1,0,0,0,1,3,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland","Marc Guiu",0,15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.14,0,0.14,0.14,0,1,0,0,6,0,0,NA,15,3,5,60,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland","Trai Hume",9,798,0,1,1,0,0,0,0.3,0.3,0.4,0.8,9,30,19,0,0.11,0.11,0,0.11,0.04,0.05,0.08,0.04,0,6,0,0,0.68,0,0,NA,21.9,270,388,69.6,0.4,0.4,0.6,6,28,7,2,30,16,11,9,10,26,35,1,3,9,0,32,25,18,58.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland","Wilson Isidor",6,528,4,0,4,4,0,0,2.1,2.1,0,2.1,3,4,21,0.68,0,0.68,0.68,0.68,0.35,0,0.35,0.35,4,19,6,31.6,3.24,1.02,0.21,0.67,14.2,30,46,65.2,0,0,0,0,4,0,0,4,5,3,3,0,5,4,0,6,3,4,0,8,19,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland","Enzo Le Fée",6,540,1,0,1,0,1,1,0.9,0.1,0.5,0.6,8,14,29,0.17,0,0.17,0,0,0.14,0.08,0.22,0.01,1,2,0,0,0.33,0,0,NA,31.7,173,221,78.3,0.5,0.3,-0.5,6,15,5,2,14,19,10,13,3,22,9,0,8,7,0,12,2,9,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland","Reinildo Mandava",6,482,0,0,0,0,0,0,0,0,0,0,12,27,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0.19,0,0,NA,29.2,210,255,82.4,0,0.1,0,0,23,2,1,27,12,6,2,8,20,25,0,6,13,0,6,11,7,61.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland","Arthur Masuaku",2,126,0,0,0,0,0,0,0.1,0.1,0.1,0.1,2,5,5,0,0,0,0,0,0.05,0.05,0.1,0.05,0,1,0,0,0.71,0,0,NA,12.8,45,62,72.6,0.1,0.1,-0.1,1,3,1,1,5,4,2,1,2,6,7,0,3,0,0,8,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland","Eliezer Mayenda",3,260,1,0,1,1,0,0,0.5,0.5,0.5,0.9,3,3,8,0.35,0,0.35,0.35,0.35,0.16,0.16,0.33,0.16,1,4,2,50,1.38,0.69,0.25,0.5,12.4,12,17,70.6,0.5,0.1,-0.5,2,0,1,0,3,1,0,3,0,1,1,0,3,3,1,0,5,11,31.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland","Nordi Mukiele",7,630,1,0,1,1,0,0,0.4,0.4,0.3,0.6,4,17,11,0.14,0,0.14,0.14,0.14,0.05,0.04,0.09,0.05,1,4,1,25,0.57,0.14,0.25,1,12.5,249,338,73.7,0.3,0.3,-0.3,4,12,0,0,17,21,16,6,7,28,54,1,5,6,1,7,21,10,67.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland","Dan Neil",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland","Chris Rigg",3,187,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,3,6,0,0,0,0,0,0.05,0.04,0.09,0.05,0,2,0,0,0.96,0,0,NA,18.6,30,42,71.4,0.1,0.1,-0.1,2,1,2,0,3,4,2,1,0,4,1,1,2,2,0,0,1,3,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland","Patrick Roberts",0,28,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0.11,0,0.11,0.11,0,1,0,0,3.21,0,0,NA,16.5,17,21,81,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland","Robin Roefs",9,810,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,NA,0,0,NA,NA,NA,219,349,62.8,0.2,0,-0.2,2,13,1,0,0,0,0,0,0,0,2,1,0,1,0,0,5,0,100,7,0.78,39,31,82.1,4,44.4,1,0,1,0,100
"Sunderland","Noah Sadiki",9,801,0,0,0,0,0,0,0.1,0.1,0.2,0.3,14,23,24,0,0,0,0,0,0.01,0.02,0.03,0.01,0,3,0,0,0.34,0,0,NA,17.1,269,318,84.6,0.2,0.4,-0.2,4,18,5,2,23,13,8,13,14,27,12,0,9,14,0,7,1,6,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland","Jenson Seelt",1,134,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,96,110,87.3,0,0,0,0,6,0,0,14,4,0,4,0,4,7,0,1,1,0,1,5,1,83.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland","Chemsdine Talbi",6,555,1,1,2,1,0,0,1,1,0.3,1.3,11,4,34,0.16,0.16,0.32,0.16,0.32,0.16,0.04,0.2,0.16,1,9,2,22.2,1.46,0.32,0.11,0.5,15.2,124,165,75.2,0.3,0.3,0.7,5,3,3,2,4,5,2,4,0,5,9,0,1,0,0,23,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland","Bertrand Traoré",3,215,0,0,0,0,0,0,0.3,0.3,0.7,1,2,2,17,0,0,0,0,0,0.14,0.3,0.43,0.14,0,5,3,60,2.09,1.26,0,0,14.9,46,63,73,0.7,0.1,-0.7,3,2,3,1,2,2,1,3,2,4,3,0,3,6,1,5,1,3,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunderland","Granit Xhaka",9,810,0,3,3,0,0,0,0.3,0.3,1.1,1.4,2,50,8,0,0.33,0.33,0,0.33,0.04,0.12,0.16,0.04,0,5,2,40,0.56,0.22,0,0,23,405,512,79.1,1.1,0.8,1.9,11,48,6,1,50,17,8,10,11,28,35,2,10,10,0,23,26,12,68.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tottenham","Rodrigo Bentancur",7,586,1,1,2,1,0,0,0.3,0.3,0.5,0.8,3,25,11,0.15,0.15,0.31,0.15,0.31,0.05,0.08,0.13,0.05,1,6,1,16.7,0.92,0.15,0.17,1,17.1,280,325,86.2,0.5,0.4,0.5,5,22,3,0,25,13,6,9,3,16,16,1,3,1,1,2,9,12,42.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tottenham","Lucas Bergvall",4,407,1,1,2,1,0,0,0.6,0.6,0.3,0.8,9,20,24,0.22,0.22,0.44,0.22,0.44,0.12,0.06,0.18,0.12,1,5,3,60,1.11,0.66,0.2,0.33,12.4,114,160,71.3,0.3,0.2,0.7,2,14,4,1,20,11,7,1,2,13,8,1,10,3,2,9,3,9,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tottenham","Kevin Danso",2,198,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,126,145,86.9,0,0,0,0,5,1,0,7,0,0,1,2,2,10,0,0,2,0,0,7,4,63.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tottenham","Archie Gray",1,72,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0.03,0.03,0,0,0,0,NA,0,0,NA,NA,NA,40,43,93,0,0,0,1,10,1,0,7,1,1,1,0,1,2,0,3,0,0,0,2,2,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tottenham","Brennan Johnson",4,363,2,0,2,2,0,0,1,1,0.2,1.1,9,6,25,0.5,0,0.5,0.5,0.5,0.24,0.04,0.28,0.24,2,5,2,40,1.24,0.5,0.4,1,17.1,61,93,65.6,0.2,0.2,-0.2,3,5,2,1,6,5,3,2,1,6,8,0,1,4,4,14,2,1,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tottenham","Randal Kolo Muani",1,73,0,0,0,0,0,0,0.1,0.1,0,0.2,1,1,4,0,0,0,0,0,0.17,0.02,0.19,0.17,0,1,0,0,1.23,0,0,NA,9.9,8,8,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tottenham","Mohammed Kudus",9,785,1,4,5,1,0,0,1.4,1.4,2,3.3,29,19,73,0.11,0.46,0.57,0.11,0.57,0.16,0.23,0.38,0.16,1,14,5,35.7,1.61,0.57,0.07,0.2,18.2,194,271,71.6,2,1.3,2,14,11,12,8,19,17,11,4,0,17,1,0,15,8,6,66,6,8,42.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tottenham","Pape Matar Sarr",4,393,2,2,4,2,0,0,0.7,0.7,0.5,1.2,4,14,15,0.46,0.46,0.92,0.46,0.92,0.17,0.12,0.28,0.17,2,4,3,75,0.92,0.69,0.5,0.67,5.9,137,168,81.5,0.5,0.3,1.5,2,16,0,0,14,6,4,3,3,9,9,1,11,5,2,1,11,10,52.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tottenham","Wilson Odobert",3,319,0,0,0,0,0,0,0.7,0.7,0.3,1.1,14,17,28,0,0,0,0,0,0.21,0.1,0.31,0.21,0,7,2,28.6,1.97,0.56,0,0,12.5,106,126,84.1,0.3,0.4,-0.3,3,11,6,1,17,3,3,0,0,3,4,1,1,0,0,7,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tottenham","João Palhinha",8,693,2,1,3,2,0,0,0.6,0.6,0.1,0.7,3,23,7,0.26,0.13,0.39,0.26,0.39,0.08,0.01,0.09,0.08,2,10,3,30,1.3,0.39,0.2,0.67,19.2,275,336,81.8,0.1,0.3,0.9,2,23,1,0,23,35,20,5,6,41,12,0,5,10,0,1,15,11,57.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tottenham","Pedro Porro",8,727,0,1,1,0,0,0,0.1,0.1,1.5,1.6,18,42,20,0,0.12,0.12,0,0.12,0.01,0.19,0.2,0.01,0,4,0,0,0.5,0,0,NA,25,348,493,70.6,1.2,1.2,-0.2,13,45,10,8,42,13,8,6,5,18,38,2,11,10,0,53,4,2,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tottenham","Richarlison",5,514,3,2,5,3,0,0,2,2,1.3,3.3,7,9,19,0.53,0.35,0.88,0.53,0.88,0.35,0.23,0.58,0.35,3,16,6,37.5,2.8,1.05,0.19,0.5,10.7,50,85,58.8,1.3,0.6,0.7,6,4,1,0,9,3,3,3,2,5,12,1,8,6,1,4,16,21,43.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tottenham","Cristian Romero",7,630,0,1,1,0,0,0,0.1,0.1,0.2,0.2,2,32,0,0,0.14,0.14,0,0.14,0.01,0.02,0.04,0.01,0,2,1,50,0.29,0.14,0,0,19.3,382,427,89.5,0.2,0.2,0.8,2,27,3,0,32,15,6,7,11,26,25,1,8,6,0,0,15,10,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tottenham","Xavi Simons",5,388,0,1,1,0,0,0,0.3,0.3,0.6,0.9,16,27,20,0,0.23,0.23,0,0.23,0.07,0.14,0.21,0.07,0,4,1,25,0.93,0.23,0,0,20,133,172,77.3,0.6,0.6,0.4,6,7,8,2,26,5,3,3,1,6,5,0,5,6,0,19,3,8,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tottenham","Dominic Solanke",0,33,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,2,0,0,0,0,0,0.57,0,0.57,0.57,0,2,1,50,5.45,2.73,0,0,15,2,2,100,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0,0,1,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tottenham","Djed Spence",7,578,0,0,0,0,0,0,0.2,0.2,0.1,0.2,22,30,35,0,0,0,0,0,0.03,0.01,0.04,0.03,0,2,1,50,0.31,0.16,0,0,17.3,266,329,80.9,0.1,0.2,-0.1,2,28,4,1,30,5,3,4,1,6,16,0,6,3,0,14,5,6,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tottenham","Mathys Tel",3,239,1,0,1,1,0,0,0.2,0.2,0,0.2,4,3,14,0.38,0,0.38,0.38,0.38,0.08,0,0.08,0.08,1,4,1,25,1.51,0.38,0.25,1,17.8,27,40,67.5,0,0,0,0,4,1,1,3,5,2,1,0,5,2,0,4,2,2,4,2,13,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tottenham","Destiny Udogie",3,303,0,0,0,0,0,0,0,0,0.2,0.3,15,21,29,0,0,0,0,0,0.01,0.07,0.08,0.01,0,1,0,0,0.3,0,0,NA,11.7,184,217,84.8,0.2,0.2,-0.2,3,21,5,0,21,5,4,5,1,6,6,0,3,6,2,5,4,3,57.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tottenham","Micky van de Ven",9,799,3,0,3,3,0,0,1.9,1.9,0.1,2,5,27,2,0.34,0,0.34,0.34,0.34,0.21,0.01,0.22,0.21,3,7,3,42.9,0.79,0.34,0.43,1,7,502,547,91.8,0.1,0.2,-0.1,2,28,1,0,26,8,6,7,7,15,25,0,6,5,0,1,12,12,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tottenham","Guglielmo Vicario",9,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,308,380,81.1,0,0,0,0,6,0,0,0,0,0,1,0,0,4,2,0,2,0,0,0,0,NA,7,0.78,33,26,78.8,4,44.4,0,0,0,0,NA
"West Ham","Nayef Aguerd",2,180,0,0,0,0,0,0,0.1,0.1,0,0.1,2,9,0,0,0,0,0,0,0.05,0,0.05,0.05,0,2,0,0,1,0,0,NA,9.9,106,119,89.1,0,0,0,0,12,0,0,9,1,0,4,1,2,11,0,0,1,0,2,4,3,57.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"West Ham","Alphonse Areola",5,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,106,171,62,0,0,0,0,5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA,9,1.8,25,16,68,0,0,1,1,0,0,0
"West Ham","Jarrod Bowen",9,810,3,1,4,3,0,0,1,1,1.4,2.4,27,18,67,0.33,0.11,0.44,0.33,0.44,0.12,0.15,0.27,0.12,3,19,9,47.4,2.11,1,0.16,0.33,17.2,156,220,70.9,1.4,1.2,-0.4,9,8,10,4,18,7,4,3,6,13,9,0,4,15,3,28,5,13,27.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"West Ham","El Hadji Malick Diouf",8,765,0,3,3,0,0,0,0.2,0.2,0.7,1,12,26,38,0,0.35,0.35,0,0.35,0.03,0.09,0.11,0.03,0,7,1,14.3,0.82,0.12,0,0,23.7,284,386,73.6,0.7,0.8,2.3,7,19,8,3,26,9,3,7,5,14,37,1,10,6,0,35,12,13,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"West Ham","Mateus Fernandes",6,469,1,0,1,1,0,0,0.3,0.3,0.6,0.8,7,15,7,0.19,0,0.19,0.19,0.19,0.05,0.11,0.15,0.05,1,5,1,20,0.96,0.19,0.2,1,25.2,183,209,87.6,0.6,0.3,-0.6,5,14,3,0,15,16,9,8,2,18,3,0,9,3,0,8,2,3,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"West Ham","Niclas Füllkrug",5,379,0,0,0,0,0,0,0.8,0.8,0.6,1.3,1,5,15,0,0,0,0,0,0.19,0.13,0.32,0.19,0,8,3,37.5,1.9,0.71,0,0,9.3,53,87,60.9,0.6,0.2,-0.6,6,2,3,0,5,2,1,1,2,4,5,0,10,1,2,0,16,28,36.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"West Ham","Luis Guilherme",0,57,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,3,0,0,0,0,0,0.11,0,0.11,0.11,0,1,0,0,1.58,0,0,NA,11.8,10,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
